port,TCP,TCPflag,UDP
633,Cerrado,RA,Cerrado
634,Cerrado,RA,Cerrado
635,Cerrado,RA,Cerrado
636,Cerrado,RA,Cerrado
637,Cerrado,RA,Cerrado
638,Cerrado,RA,Cerrado
639,Cerrado,RA,Cerrado
640,Cerrado,RA,Cerrado
641,Cerrado,RA,Cerrado
642,Cerrado,RA,Cerrado
643,Cerrado,RA,Cerrado
644,Cerrado,RA,Cerrado
645,Cerrado,RA,Cerrado
646,Abierto,SA,Abierto | Filtrado
647,Cerrado,RA,Cerrado
648,Cerrado,RA,Cerrado
649,Cerrado,RA,Cerrado
650,Cerrado,RA,Cerrado
651,Cerrado,RA,Cerrado
652,Cerrado,RA,Cerrado
653,Cerrado,RA,Cerrado
654,Cerrado,RA,Cerrado
655,Cerrado,RA,Cerrado
656,Cerrado,RA,Cerrado
657,Cerrado,RA,Cerrado
658,Cerrado,RA,Cerrado
659,Cerrado,RA,Cerrado
660,Cerrado,RA,Cerrado
661,Cerrado,RA,Cerrado
662,Cerrado,RA,Cerrado
663,Cerrado,RA,Cerrado
664,Cerrado,RA,Cerrado
665,Cerrado,RA,Cerrado
666,Cerrado,RA,Cerrado
667,Cerrado,RA,Cerrado
668,Cerrado,RA,Cerrado
669,Cerrado,RA,Cerrado
670,Cerrado,RA,Cerrado
671,Cerrado,RA,Cerrado
672,Cerrado,RA,Cerrado
673,Cerrado,RA,Cerrado
674,Cerrado,RA,Cerrado
675,Cerrado,RA,Cerrado
676,Cerrado,RA,Cerrado
677,Cerrado,RA,Cerrado
678,Cerrado,RA,Cerrado
679,Cerrado,RA,Cerrado
680,Cerrado,RA,Cerrado
681,Cerrado,RA,Cerrado
682,Cerrado,RA,Cerrado
683,Cerrado,RA,Cerrado
684,Cerrado,RA,Cerrado
685,Cerrado,RA,Cerrado
686,Cerrado,RA,Cerrado
687,Cerrado,RA,Cerrado
688,Cerrado,RA,Cerrado
689,Cerrado,RA,Cerrado
690,Cerrado,RA,Cerrado
691,Cerrado,RA,Cerrado
692,Cerrado,RA,Cerrado
693,Cerrado,RA,Cerrado
