port,TCP,TCPflag,UDP
581,Filtrado,none,Abierto | Filtrado
582,Filtrado,none,Abierto | Filtrado
583,Filtrado,none,Abierto | Filtrado
584,Filtrado,none,Abierto | Filtrado
585,Filtrado,none,Abierto | Filtrado
586,Filtrado,none,Abierto | Filtrado
587,Filtrado,none,Abierto | Filtrado
588,Filtrado,none,Abierto | Filtrado
589,Filtrado,none,Abierto | Filtrado
590,Filtrado,none,Abierto | Filtrado
591,Filtrado,none,Abierto | Filtrado
592,Filtrado,none,Abierto | Filtrado
593,Filtrado,none,Abierto | Filtrado
594,Filtrado,none,Abierto | Filtrado
595,Filtrado,none,Abierto | Filtrado
596,Filtrado,none,Abierto | Filtrado
597,Filtrado,none,Abierto | Filtrado
598,Filtrado,none,Abierto | Filtrado
599,Filtrado,none,Abierto | Filtrado
600,Filtrado,none,Abierto | Filtrado
601,Filtrado,none,Abierto | Filtrado
602,Filtrado,none,Abierto | Filtrado
603,Filtrado,none,Abierto | Filtrado
604,Filtrado,none,Abierto | Filtrado
605,Filtrado,none,Abierto | Filtrado
606,Filtrado,none,Abierto | Filtrado
607,Filtrado,none,Abierto | Filtrado
608,Filtrado,none,Abierto | Filtrado
609,Filtrado,none,Abierto | Filtrado
610,Filtrado,none,Abierto | Filtrado
611,Filtrado,none,Abierto | Filtrado
612,Filtrado,none,Abierto | Filtrado
613,Filtrado,none,Abierto | Filtrado
614,Filtrado,none,Abierto | Filtrado
615,Filtrado,none,Abierto | Filtrado
616,Filtrado,none,Abierto | Filtrado
617,Filtrado,none,Abierto | Filtrado
618,Filtrado,none,Abierto | Filtrado
619,Filtrado,none,Abierto | Filtrado
620,Filtrado,none,Abierto | Filtrado
621,Filtrado,none,Abierto | Filtrado
622,Filtrado,none,Abierto | Filtrado
623,Filtrado,none,Abierto | Filtrado
624,Filtrado,none,Abierto | Filtrado
625,Filtrado,none,Abierto | Filtrado
626,Filtrado,none,Abierto | Filtrado
627,Filtrado,none,Abierto | Filtrado
628,Filtrado,none,Abierto | Filtrado
629,Filtrado,none,Abierto | Filtrado
630,Filtrado,none,Abierto | Filtrado
631,Filtrado,none,Abierto | Filtrado
632,Filtrado,none,Abierto | Filtrado
633,Filtrado,none,Abierto | Filtrado
634,Filtrado,none,Abierto | Filtrado
635,Filtrado,none,Abierto | Filtrado
636,Filtrado,none,Abierto | Filtrado
637,Filtrado,none,Abierto | Filtrado
638,Filtrado,none,Abierto | Filtrado
639,Filtrado,none,Abierto | Filtrado
640,Filtrado,none,Abierto | Filtrado
641,Filtrado,none,Abierto | Filtrado
642,Filtrado,none,Abierto | Filtrado
643,Filtrado,none,Abierto | Filtrado
644,Filtrado,none,Abierto | Filtrado
645,Filtrado,none,Abierto | Filtrado
646,Filtrado,none,Abierto | Filtrado
647,Filtrado,none,Abierto | Filtrado
648,Filtrado,none,Abierto | Filtrado
649,Filtrado,none,Abierto | Filtrado
650,Filtrado,none,Abierto | Filtrado
651,Filtrado,none,Abierto | Filtrado
652,Filtrado,none,Abierto | Filtrado
653,Filtrado,none,Abierto | Filtrado
654,Filtrado,none,Abierto | Filtrado
655,Filtrado,none,Abierto | Filtrado
656,Filtrado,none,Abierto | Filtrado
657,Filtrado,none,Abierto | Filtrado
658,Filtrado,none,Abierto | Filtrado
659,Filtrado,none,Abierto | Filtrado
660,Filtrado,none,Abierto | Filtrado
661,Filtrado,none,Abierto | Filtrado
662,Filtrado,none,Abierto | Filtrado
